# column 0 is pixels, column 1 is signal
1.570000000000000000e+02,5.273437499999999306e-02
1.580000000000000000e+02,4.785156250000000000e-02
1.590000000000000000e+02,7.324218749999998612e-02
1.600000000000000000e+02,2.994791666666667129e-02
1.610000000000000000e+02,2.734374999999999653e-02
1.620000000000000000e+02,2.799479166666666435e-02
1.630000000000000000e+02,4.394531250000000000e-02
1.640000000000000000e+02,2.832031250000000000e-02
1.650000000000000000e+02,3.645833333333333565e-02
1.660000000000000000e+02,5.240885416666666435e-02
1.670000000000000000e+02,2.929687500000000434e-03
1.680000000000000000e+02,2.050781250000000000e-02
1.690000000000000000e+02,3.417968750000000000e-02
1.700000000000000000e+02,4.296875000000000000e-02
1.710000000000000000e+02,4.720052083333333565e-02
1.720000000000000000e+02,6.998697916666665741e-02
1.730000000000000000e+02,4.394531250000000694e-02
1.740000000000000000e+02,6.705729166666665741e-02
1.750000000000000000e+02,6.998697916666668517e-02
1.760000000000000000e+02,2.701822916666666435e-02
1.770000000000000000e+02,3.841145833333333565e-02
1.780000000000000000e+02,4.329427083333333565e-02
1.790000000000000000e+02,3.255208333333332871e-02
1.800000000000000000e+02,2.083333333333333218e-02
1.810000000000000000e+02,6.152343749999999306e-02
1.820000000000000000e+02,5.631510416666667129e-02
1.830000000000000000e+02,3.352864583333333565e-02
1.840000000000000000e+02,3.743489583333333565e-02
1.850000000000000000e+02,2.083333333333333218e-02
1.860000000000000000e+02,3.190104166666667129e-02
1.870000000000000000e+02,2.929687500000000347e-02
1.880000000000000000e+02,3.548177083333333565e-02
1.890000000000000000e+02,7.096354166666667129e-02
1.900000000000000000e+02,6.835937500000001388e-02
1.910000000000000000e+02,3.808593750000000000e-02
1.920000000000000000e+02,2.376302083333333218e-02
1.930000000000000000e+02,2.180989583333333218e-02
1.940000000000000000e+02,1.985677083333333218e-02
1.950000000000000000e+02,1.985677083333333218e-02
1.960000000000000000e+02,3.710937499999999306e-02
1.970000000000000000e+02,1.855468750000000000e-02
1.980000000000000000e+02,1.822916666666666782e-02
1.990000000000000000e+02,2.148437500000000000e-02
2.000000000000000000e+02,3.645833333333332871e-02
2.010000000000000000e+02,1.302083333333333391e-02
2.020000000000000000e+02,1.399739583333333565e-02
2.030000000000000000e+02,1.790364583333333218e-02
2.040000000000000000e+02,2.669270833333333218e-02
2.050000000000000000e+02,1.660156250000000000e-02
2.060000000000000000e+02,2.213541666666666435e-02
2.070000000000000000e+02,5.110677083333332871e-02
2.080000000000000000e+02,3.190104166666667129e-02
2.090000000000000000e+02,2.050781250000000000e-02
2.100000000000000000e+02,2.148437500000000000e-02
2.110000000000000000e+02,8.789062500000000000e-03
2.120000000000000000e+02,4.329427083333332871e-02
2.130000000000000000e+02,4.296875000000000000e-02
2.140000000000000000e+02,5.240885416666667129e-02
2.150000000000000000e+02,4.947916666666666435e-02
2.160000000000000000e+02,2.734375000000000000e-02
2.170000000000000000e+02,1.334635416666666609e-02
2.180000000000000000e+02,8.138020833333333912e-03
2.190000000000000000e+02,7.812500000000000000e-03
2.200000000000000000e+02,3.255208333333333565e-02
2.210000000000000000e+02,1.985677083333333218e-02
2.220000000000000000e+02,8.789062500000000000e-03
2.230000000000000000e+02,6.510416666666666956e-03
2.240000000000000000e+02,2.376302083333333218e-02
2.250000000000000000e+02,4.785156249999999306e-02
2.260000000000000000e+02,1.985677083333333565e-02
2.270000000000000000e+02,3.808593750000000000e-02
2.280000000000000000e+02,5.989583333333333565e-02
2.290000000000000000e+02,3.971354166666665741e-02
2.300000000000000000e+02,3.841145833333333565e-02
2.310000000000000000e+02,5.143229166666667129e-02
2.320000000000000000e+02,3.092447916666666782e-02
2.330000000000000000e+02,2.604166666666666782e-02
2.340000000000000000e+02,2.213541666666666782e-02
2.350000000000000000e+02,1.399739583333333218e-02
2.360000000000000000e+02,1.888020833333333565e-02
2.370000000000000000e+02,8.138020833333332177e-03
2.380000000000000000e+02,3.906250000000000000e-03
2.390000000000000000e+02,1.334635416666666609e-02
2.400000000000000000e+02,4.199218749999999306e-02
2.410000000000000000e+02,4.557291666666666088e-03
2.420000000000000000e+02,2.278645833333333044e-03
